Date,Open*,High,Low,Close**,Volume,Market Cap
06-01-18,"17,462.10","17,712.40","16,764.60","17,527.00",18314600000.00,293091000000.00
05-01-18,"15,477.20","17,705.20","15,202.80","17,429.50",23840900000.00,259748000000.00
04-01-18,"15,270.70","15,739.70","14,522.20","15,599.20",21783200000.00,256250000000.00
03-01-18,"14,978.20","15,572.80","14,844.50","15,201.00",16871900000.00,251312000000.00
02-01-18,"13,625.00","15,444.60","13,163.60","14,982.10",16846600000.00,228579000000.00
01-01-18,"14,112.20","14,112.20","13,154.70","13,657.20",10291200000.00,236725000000.00
31-12-17,"12,897.70","14,377.40","12,755.60","14,156.40",12136300000.00,216326000000.00
30-12-17,"14,681.90","14,681.90","12,350.10","12,952.20",14452600000.00,246224000000.00
29-12-17,"14,695.80","15,279.00","14,307.00","14,656.20",13025500000.00,246428000000.00
28-12-17,"15,864.10","15,888.40","13,937.30","14,606.50",12336500000.00,265988000000.00
27-12-17,"16,163.50","16,930.90","15,114.30","15,838.50",12487600000.00,270976000000.00
26-12-17,"14,036.60","16,461.20","14,028.90","16,099.80",13454300000.00,235294000000.00
25-12-17,"13,995.90","14,593.00","13,448.90","14,026.60",10664700000.00,234590000000.00
24-12-17,"14,608.20","14,626.00","12,747.70","13,925.80",11572300000.00,244824000000.00
23-12-17,"13,948.70","15,603.20","13,828.80","14,699.20",13086000000.00,233748000000.00
22-12-17,"15,898.00","15,943.40","11,833.00","13,831.80",22198000000.00,266381000000.00
21-12-17,"16,642.40","17,567.70","15,342.70","15,802.90",16516600000.00,278827000000.00
20-12-17,"17,760.30","17,934.70","16,077.70","16,624.60",22149700000.00,297526000000.00
19-12-17,"19,118.30","19,177.80","17,275.40","17,776.70",16894500000.00,320242000000.00
18-12-17,"19,106.40","19,371.00","18,355.90","19,114.20",14839500000.00,320000000000.00
17-12-17,"19,475.80","20,089.00","18,974.10","19,140.80",13314600000.00,326141000000.00
16-12-17,"17,760.30","19,716.70","17,515.30","19,497.40",12740600000.00,297376000000.00
15-12-17,"16,601.30","18,154.10","16,601.30","17,706.90",14310000000.00,277936000000.00
14-12-17,"16,384.60","17,085.80","16,185.90","16,564.00",13777400000.00,274269000000.00
13-12-17,"17,500.00","17,653.10","16,039.70","16,408.20",12976900000.00,292900000000.00
12-12-17,"16,919.80","17,781.80","16,571.60","17,415.40",14603800000.00,283155000000.00
11-12-17,"15,427.40","17,513.90","15,404.80","16,936.80",12153900000.00,258147000000.00
10-12-17,"15,168.40","15,850.60","13,226.60","15,455.40",13433300000.00,253782000000.00
09-12-17,"16,523.30","16,783.00","13,674.90","15,178.20",13911300000.00,276415000000.00
08-12-17,"17,802.90","18,353.40","14,336.90","16,569.40",21136000000.00,297787000000.00
07-12-17,"14,266.10","17,899.70","14,057.30","17,899.70",17950700000.00,238600000000.00
06-12-17,"11,923.40","14,369.10","11,923.40","14,291.50",12656300000.00,199390000000.00
05-12-17,"11,685.70","12,032.00","11,604.60","11,916.70",6895260000.00,195389000000.00
04-12-17,"11,315.40","11,657.20","11,081.80","11,657.20",6132410000.00,189172000000.00
03-12-17,"11,082.70","11,858.70","10,862.00","11,323.20",6608310000.00,185258000000.00
02-12-17,"10,978.30","11,320.20","10,905.10","11,074.60",5138500000.00,183490000000.00
01-12-17,"10,198.60","11,046.70","9,694.65","10,975.60",6783120000.00,170436000000.00
30-11-17,"9,906.79","10,801.00","9,202.05","10,233.60",8310690000.00,165537000000.00
29-11-17,"10,077.40","11,517.40","9,601.03","9,888.61",11568800000.00,168367000000.00
28-11-17,"9,823.43","10,125.70","9,736.30","10,058.80",6348820000.00,164104000000.00
27-11-17,"9,352.72","9,818.35","9,352.72","9,818.35",5653320000.00,156221000000.00
26-11-17,"8,789.04","9,522.93","8,775.59","9,330.55",5475580000.00,146789000000.00
25-11-17,"8,241.71","8,790.92","8,191.15","8,790.92",4342060000.00,137632000000.00
24-11-17,"8,074.02","8,374.16","7,940.93","8,253.69",5058610000.00,134816000000.00
23-11-17,"8,232.38","8,267.40","8,038.77","8,038.77",4225180000.00,137444000000.00
22-11-17,"8,077.95","8,302.26","8,075.47","8,253.55",3633530000.00,134851000000.00
21-11-17,"8,205.74","8,348.66","7,762.71","8,071.26",4277610000.00,136967000000.00
20-11-17,"8,039.07","8,336.86","7,949.36","8,200.64",3488450000.00,134167000000.00
19-11-17,"7,766.03","8,101.91","7,694.10","8,036.49",3149320000.00,129595000000.00
18-11-17,"7,697.21","7,884.99","7,463.44","7,790.15",3667190000.00,128425000000.00
17-11-17,"7,853.57","8,004.59","7,561.09","7,708.99",4651670000.00,131026000000.00
16-11-17,"7,323.24","7,967.38","7,176.58","7,871.69",5123810000.00,122164000000.00
15-11-17,"6,634.76","7,342.25","6,634.76","7,315.54",4200880000.00,110667000000.00
14-11-17,"6,561.48","6,764.98","6,461.75","6,635.75",3197110000.00,109434000000.00
13-11-17,"5,938.25","6,811.19","5,844.29","6,559.49",6263250000.00,99029000000.00
12-11-17,"6,295.45","6,625.05","5,519.01","5,950.07",8957350000.00,104980000000.00
11-11-17,"6,618.61","6,873.15","6,204.22","6,357.60",4908680000.00,110362000000.00
10-11-17,"7,173.73","7,312.00","6,436.87","6,618.14",5208250000.00,119607000000.00
09-11-17,"7,446.83","7,446.83","7,101.52","7,143.58",3226250000.00,124146000000.00
08-11-17,"7,141.38","7,776.42","7,114.02","7,459.69",4602200000.00,119041000000.00
07-11-17,"7,023.10","7,253.32","7,023.10","7,144.38",2326340000.00,117056000000.00
06-11-17,"7,403.22","7,445.77","7,007.31","7,022.76",3111900000.00,123379000000.00
